#PSV-2.1
'LDAPZ81 '   6.00000000 1
    0.780744111448999E-06   -0.921986280908263E+01
    0.787733820124541E-06   -0.921986280908262E+01
    0.794786105035565E-06   -0.921986280908260E+01
    0.801901526403595E-06   -0.921986280908258E+01
    0.809080649465607E-06   -0.921986280908256E+01
    0.816324044518933E-06   -0.921986280908254E+01
    0.823632286966561E-06   -0.921986280908252E+01
    0.831005957362848E-06   -0.921986280908250E+01
    0.838445641459634E-06   -0.921986280908247E+01
    0.845951930252776E-06   -0.921986280908245E+01
    0.853525420029094E-06   -0.921986280908243E+01
    0.861166712413741E-06   -0.921986280908241E+01
    0.868876414417993E-06   -0.921986280908239E+01
    0.876655138487471E-06   -0.921986280908236E+01
    0.884503502550791E-06   -0.921986280908234E+01
    0.892422130068650E-06   -0.921986280908231E+01
    0.900411650083357E-06   -0.921986280908229E+01
    0.908472697268800E-06   -0.921986280908227E+01
    0.916605911980863E-06   -0.921986280908224E+01
    0.924811940308294E-06   -0.921986280908222E+01
    0.933091434124035E-06   -0.921986280908219E+01
    0.941445051136998E-06   -0.921986280908216E+01
    0.949873454944317E-06   -0.921986280908213E+01
    0.958377315084061E-06   -0.921986280908211E+01
    0.966957307088425E-06   -0.921986280908208E+01
    0.975614112537384E-06   -0.921986280908205E+01
    0.984348419112849E-06   -0.921986280908202E+01
    0.993160920653283E-06   -0.921986280908199E+01
    0.100205231720883E-05   -0.921986280908196E+01
    0.101102331509691E-05   -0.921986280908193E+01
    0.102007462695835E-05   -0.921986280908190E+01
    0.102920697181398E-05   -0.921986280908186E+01
    0.103842107512174E-05   -0.921986280908183E+01
    0.104771766883433E-05   -0.921986280908180E+01
    0.105709749145737E-05   -0.921986280908176E+01
    0.106656128810800E-05   -0.921986280908173E+01
    0.107610981057415E-05   -0.921986280908169E+01
    0.108574381737421E-05   -0.921986280908166E+01
    0.109546407381730E-05   -0.921986280908162E+01
    0.110527135206407E-05   -0.921986280908159E+01
    0.111516643118803E-05   -0.921986280908155E+01
    0.112515009723744E-05   -0.921986280908151E+01
    0.113522314329775E-05   -0.921986280908147E+01
    0.114538636955464E-05   -0.921986280908143E+01
    0.115564058335750E-05   -0.921986280908139E+01
    0.116598659928365E-05   -0.921986280908135E+01
    0.117642523920302E-05   -0.921986280908131E+01
    0.118695733234340E-05   -0.921986280908126E+01
    0.119758371535637E-05   -0.921986280908122E+01
    0.120830523238373E-05   -0.921986280908118E+01
    0.121912273512457E-05   -0.921986280908113E+01
    0.123003708290292E-05   -0.921986280908109E+01
    0.124104914273601E-05   -0.921986280908104E+01
    0.125215978940314E-05   -0.921986280908099E+01
    0.126336990551521E-05   -0.921986280908094E+01
    0.127468038158477E-05   -0.921986280908089E+01
    0.128609211609683E-05   -0.921986280908084E+01
    0.129760601558016E-05   -0.921986280908079E+01
    0.130922299467938E-05   -0.921986280908074E+01
    0.132094397622754E-05   -0.921986280908069E+01
    0.133276989131950E-05   -0.921986280908063E+01
    0.134470167938584E-05   -0.921986280908058E+01
    0.135674028826754E-05   -0.921986280908052E+01
    0.136888667429120E-05   -0.921986280908047E+01
    0.138114180234509E-05   -0.921986280908041E+01
    0.139350664595574E-05   -0.921986280908035E+01
    0.140598218736532E-05   -0.921986280908029E+01
    0.141856941760961E-05   -0.921986280908023E+01
    0.143126933659680E-05   -0.921986280908017E+01
    0.144408295318685E-05   -0.921986280908011E+01
    0.145701128527168E-05   -0.921986280908004E+01
    0.147005535985603E-05   -0.921986280907997E+01
    0.148321621313898E-05   -0.921986280907991E+01
